num,galaxy,type,access
111,Getaizakaal,Normal,
112,Hansolmien,Empty,
113,Bloytisagra,Normal,
114,Ladsenlay,Normal,
115,Luyugoslasr,Harsh,
116,Ubredhatk,Normal,
117,Cidoniana,Normal,
118,Jasinessa,Normal,
119,Torweierf,Lush,
120,Saffneckm,Normal,
121,Thnistner,Normal,
122,Dotusingg,Normal,
123,Luleukous,Harsh,
124,Jelmandan,Normal,
125,Otimanaso,Normal,
126,Enjaxusanto,Normal,
127,Sezviktorew,Empty,
128,Zikehpm,Normal,
129,Bephembah,Normal,
130,Broomerrai,Lush,
131,Meximicka,Normal,
132,Venessika,Empty,
133,Gaiteseling,Normal,
134,Zosakasiro,Normal,
135,Drajayanes,Harsh,
136,Ooibekuar,Normal,
137,Urckiansi,Normal,
138,Dozivadido,Normal,
139,Emiekereks,Lush,
140,Meykinunukur,Normal,
141,Kimycuristh,Normal,
142,Roansfien,Normal,
143,Isgarmeso,Harsh,
144,Daitibeli,Normal,
145,Gucuttarik,Normal,
146,Enlaythie,Normal,
147,Drewweste,Empty,
148,Akbulkabi,Normal,
149,Homskiw,Normal,
150,Zavainlani,Lush,
151,Jewijkmas,Normal,
152,Itlhotagra,Empty,
153,Podalicess,Normal,
154,Hiviusauer,Normal,
155,Halsebenk,Harsh,
156,Puikitoac,Normal,
157,Gaybakuaria,Normal,
158,Grbodubhe,Normal,
159,Rycempler,Lush,
160,Indjalala,Normal,
161,Fontenikk,Normal,
162,Pasycihelwhee,Normal,
163,Ikbaksmit,Harsh,
164,Telicianses,Normal,
165,Oyleyzhan,Normal,
166,Uagerosat,Normal,
167,Impoxectin,Empty,
168,Twoodmand,Normal,
169,Hilfsesorbs,Normal,
170,Ezdaranit,Lush,
171,Wiensanshe,Normal,
172,Ewheelonc,Empty,
173,Litzmantufa,Normal,
174,Emarmatosi,Normal,
175,Mufimbomacvi,Harsh,
176,Wongquarum,Normal,
177,Hapirajua,Normal,
178,Igbinduina,Empty,
179,Wepaitvas,Lush,
180,Sthatigudi,Normal,
181,Yekathsebehn,Normal,
182,Ebedeagurst,Normal,
183,Nolisonia,Harsh,
184,Ulexovitab,Normal,
185,Iodhinxois,Normal,
186,Irroswitzs,Normal,
187,Bifredait,Empty,
188,Beiraghedwe,Normal,
189,Yeonatlak,Normal,
190,Cugnatachh,Lush,
191,Nozoryenki,Normal,
192,Ebralduri,Empty,
193,Evcickcandj,Normal,
194,Ziybosswin,Normal,
195,Heperclait,Harsh,
196,Sugiuniam,Normal,
197,Aaseertush,Normal,
198,Uglyestemaa,Normal,
199,Horeroedsh,Lush,
200,Drundemiso,Normal,
201,Ityanianat,Normal,
202,Purneyrine,Normal,
203,Dokiessmat,Harsh,
204,Nupiacheh,Normal,
205,Dihewsonj,Normal,
206,Rudrailhik,Normal,
207,Tweretnort,Empty,
208,Snatreetze,Normal,
209,Iwundaracos,Normal,
210,Digarlewena,Lush,
211,Erquagsta,Normal,
212,Logovoloin,Empty,
213,Boyaghosganh,Normal,
214,Kuolungau,Normal,
215,Pehneldept,Harsh,
216,Yevettiiqidcon,Normal,
217,Sahliacabru,Normal,
218,Noggalterpor,Normal,
219,Chmageaki,Lush,
220,Veticueca,Normal,
221,Vittesbursul,Normal,
222,Nootanore,Normal,
223,Innebdjerah,Harsh,
224,Kisvarcini,Normal,
225,Cuzcogipper,Normal,
226,Pamanhermonsu,Normal,
227,Brotoghek,Empty,
228,Mibittara,Normal,
229,Huruahili,Normal,
230,Raldwicarn,Lush,
231,Ezdartlic,Normal,
232,Badesclema,Empty,
233,Isenkeyan,Normal,
234,Iadoitesu,Normal,
235,Yagrovoisi,Harsh,
236,Ewcomechio,Normal,
237,Inunnunnoda,Normal,
238,Dischiutun,Normal,
239,Yuwarugha,Lush,
240,Ialmendra,Normal,
241,Reponudrle,Normal,
242,Rinjanagrbo,Normal,
243,Zeziceloh,Harsh,
244,Oeileutasc,Normal,
245,Zicniijinis,Normal,
246,Dugnowarilda,Normal,
247,Neuxoisan,Empty,
248,Ilmenhorn,Normal,
249,Rukwatsuku,Normal,
250,Nepitzaspru,Lush,
251,Chcehoemig,Normal,
252,Haffneyrin,Empty,
253,Uliciawai,Normal,
254,Tuhgrespod,Normal,
255,Iousongola,Harsh,
256,Odyalutai,Normal,

